Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_108.jpg;0;1;0;1.446783;100.4224;86.72736;1.248528;56.5433;-0.0008966485
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_158.jpg;0;1;0;1.493648;100.4722;86.80204;1.252254;56.53141;-0.0009162378
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_208.jpg;0;1;0;1.524999;100.5062;86.85307;1.251563;56.5261;-0.0009774838
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_258.jpg;0;1;0;1.572296;100.5586;86.93168;1.257497;56.51352;-0.0009892549
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_308.jpg;0;1;0;1.602477;100.5944;86.98531;1.259027;56.50567;-0.0009677724
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_358.jpg;0;1;0;1.648698;100.6494;87.06771;1.263281;56.49627;-0.001014076
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_408.jpg;0;1;0;1.680353;100.687;87.12396;1.268349;56.48676;-0.001004657
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_458.jpg;0;1;0;1.725586;100.7445;87.21012;1.269476;56.47673;-0.001012691
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_507.jpg;0;1;0;1.756789;100.7838;87.26886;1.272337;56.47009;-0.001044529
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_558.jpg;0;1;0;1.802406;100.8439;87.35889;1.278953;56.45909;-0.001071032
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_608.jpg;0;1;0;1.832849;100.8849;87.42015;1.281578;56.45203;-0.00107493
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_658.jpg;0;1;0;1.877671;100.9476;87.51389;1.283463;56.43995;-0.001075785
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_708.jpg;0;1;0;1.908486;100.9903;87.57769;1.288883;56.43179;-0.001094628
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_758.jpg;0;1;0;1.953636;101.0556;87.67521;1.294317;56.42086;-0.001118569
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_808.jpg;0;1;0;1.982924;101.0999;87.74142;1.295926;56.41388;-0.001119637
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_857.jpg;0;1;0;2.027839;101.1677;87.84263;1.298744;56.40276;-0.001133009
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_907.jpg;0;1;0;2.058328;101.2138;87.91137;1.30315;56.39477;-0.001170853
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_958.jpg;0;1;0;2.102995;101.2841;88.01624;1.305027;56.38389;-0.001175551
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_007.jpg;0;1;0;2.1325;101.3318;88.08738;1.306385;56.37774;-0.001200798
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_057.jpg;0;1;0;2.176921;101.4047;88.19595;1.309907;56.36511;-0.001195382
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_107.jpg;0;1;0;2.206265;101.454;88.26953;1.311429;56.35902;-0.001225113
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_157.jpg;0;1;0;2.250448;101.5294;88.38174;1.314505;56.34626;-0.001218389
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_207.jpg;0;1;0;2.279631;101.5804;88.45779;1.319261;56.3387;-0.001240675
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_43_257.jpg;0;1;0;2.323593;101.6582;88.57355;1.319267;56.32746;-0.001243344
